Problem,Task,Dataset,City,Source,Target,Method,Model Type,Features,Dimension,Label Fraction,Target Samples,RMSE,MAE,nRMSE,Accuracy,Balanced Accuracy,Macro F1,Seed,Mean,Std,Notes
1,generation_regime,Amherst,Amherst,,,random_forest,classical/deep,leakage-safe (no irradiance),,,,,,,0.7516,0.7578,0.7561,mean of 3,0.7578,0.0026,best model selected by mean balanced accuracy across seeds
1,sky_condition,Amherst,Amherst,,,mlp,classical/deep,leakage-safe (no irradiance),,,,,,,0.8519,0.8162,0.8141,mean of 3,0.8162,0.0031,best model selected by mean balanced accuracy across seeds
1,generation_regime,Davis,Davis,,,mlp_tuned,classical/deep,leakage-safe (no irradiance),,,,,,,0.9486,0.946,0.9453,mean of 3,0.946,0.0017,best model selected by mean balanced accuracy across seeds
1,sky_condition,Davis,Davis,,,logistic_regression_balanced_weight,classical/deep,leakage-safe (no irradiance),,,,,,,0.8314,0.772,0.72,mean of 3,0.772,0.0,best model selected by mean balanced accuracy across seeds
2,same_city_regression,Amherst,Amherst,,,gradient_boosting_tuned,classical/deep,full (incl. irradiance),,,,20.29,13.62,0.1595,,,,mean of 3,20.29,0.01,best model selected by mean RMSE across seeds
2,same_city_regression,Davis,Davis,,,gradient_boosting,classical/deep,full (incl. irradiance),,,,15.17,8.31,0.06,,,,mean of 3,15.17,0.0,best model selected by mean RMSE across seeds
2,sequence_forecasting_K12,Davis,Davis,,,GRU,deep (RNN),full + Output Power lag,,,,17.58,10.04,0.0695,,,,mean of 3,17.58,0.1,"beats persistence baseline (21.97 kW); loses to non-sequence model (15.17 kW) - different task, see report"
2,cross_city_zero_shot,Huron,,Davis,Huron,gradient_boosting,classical,full (incl. irradiance),,,0.0,125.81,116.24,1.692,,,,mean of 3,125.81,0.01,"raw-kW zero-shot - severe scale mismatch failure, honestly reported (see PROBLEM2_REPORT.md)"
2,cross_city_zero_shot,La Jolla,,Davis,La Jolla,gradient_boosting,classical,full (incl. irradiance),,,0.0,124.39,115.95,1.8146,,,,mean of 3,124.39,1.3,"raw-kW zero-shot - severe scale mismatch failure, honestly reported (see PROBLEM2_REPORT.md)"
2,cross_city_zero_shot,Santa Barbara,,Davis,Santa Barbara,gradient_boosting,classical,full (incl. irradiance),,,0.0,125.48,116.55,1.6994,,,,mean of 3,125.48,0.61,"raw-kW zero-shot - severe scale mismatch failure, honestly reported (see PROBLEM2_REPORT.md)"
3,downstream_classification_and_regression,Davis,Davis,,,raw,,leakage-safe (no irradiance),,,,23.86,15.84,0.0944,,0.7431,0.7356,mean of 3,0.7431,,"explained_variance=nan, reconstruction_mse=nan"
3,downstream_classification_and_regression,Davis,Davis,,,PCA,classical (PCA) / deep (AE),leakage-safe (no irradiance),2.0,,,44.86,35.13,0.1775,,0.4011,0.4061,mean of 3,0.4011,,"explained_variance=0.434, reconstruction_mse=0.3357"
3,downstream_classification_and_regression,Davis,Davis,,,PCA,classical (PCA) / deep (AE),leakage-safe (no irradiance),5.0,,,33.96,24.82,0.1343,,0.559,0.5523,mean of 3,0.559,,"explained_variance=0.7611, reconstruction_mse=0.1495"
3,downstream_classification_and_regression,Davis,Davis,,,PCA,classical (PCA) / deep (AE),leakage-safe (no irradiance),10.0,,,32.1,22.39,0.127,,0.5711,0.5768,mean of 3,0.5711,,"explained_variance=0.9455, reconstruction_mse=0.0455"
3,downstream_classification_and_regression,Davis,Davis,,,Autoencoder,classical (PCA) / deep (AE),leakage-safe (no irradiance),2.0,,,41.93,31.36,0.1659,,0.4569,0.462,mean of 3,0.4569,,"explained_variance=nan, reconstruction_mse=0.2039"
3,downstream_classification_and_regression,Davis,Davis,,,Autoencoder,classical (PCA) / deep (AE),leakage-safe (no irradiance),5.0,,,36.29,27.02,0.1436,,0.5677,0.5595,mean of 3,0.5677,,"explained_variance=nan, reconstruction_mse=0.0619"
3,downstream_classification_and_regression,Davis,Davis,,,Autoencoder,classical (PCA) / deep (AE),leakage-safe (no irradiance),10.0,,,29.69,21.88,0.1174,,0.6606,0.6448,mean of 3,0.6606,,"explained_variance=nan, reconstruction_mse=0.026"
4,sky_condition_SSL,Davis,Davis,,,supervised_baseline,classical (logistic regression),leakage-safe (no irradiance),,0.1,,,,,,,0.6996,mean of 3,0.6996,0.0066,SSL gain at this fraction: -0.0048
4,sky_condition_SSL,Davis,Davis,,,pseudo_labeling_SSL,classical (logistic regression),leakage-safe (no irradiance),,0.1,,,,,,,0.6948,mean of 3,0.6948,0.0034,SSL gain at this fraction: -0.0048
4,sky_condition_SSL,Davis,Davis,,,supervised_baseline,classical (logistic regression),leakage-safe (no irradiance),,0.3,,,,,,,0.7045,mean of 3,0.7045,0.0151,SSL gain at this fraction: -0.0006
4,sky_condition_SSL,Davis,Davis,,,pseudo_labeling_SSL,classical (logistic regression),leakage-safe (no irradiance),,0.3,,,,,,,0.7039,mean of 3,0.7039,0.0148,SSL gain at this fraction: -0.0006
