column,dtype,intended_role,missing_pct,unique_values,notes
Year,int64,temporal,0.0,9,
Month,int64,temporal,0.0,12,
Day,int64,temporal,0.0,31,
Hour,int64,temporal,0.0,6,
Minute,int64,temporal,0.0,2,
DHI,int64,numerical,0.0,499,
DNI,int64,numerical,0.0,1030,
GHI,int64,numerical,0.0,1070,
Clearsky DHI,int64,numerical,0.0,321,
Clearsky DNI,int64,numerical,0.0,589,
Clearsky GHI,int64,numerical,0.0,928,
Cloud Type,int64,categorical,0.0,11,"integer codes - must be one-hot/embedded, not treated as continuous"
Dew Point,float64,numerical,0.0,446,
Solar Zenith Angle,float64,numerical,0.0,6702,
Surface Albedo,float64,numerical,0.0,115,
Wind Speed,float64,numerical,0.0,112,
Precipitable Water,float64,numerical,0.0,8928,
Wind Direction,float64,numerical,0.0,5977,
Relative Humidity,float64,numerical,0.0,10997,
Temperature,float64,numerical,0.0,531,
Pressure,int64,numerical,0.0,72,
Output Power,float64,target,0.004,100240,
