Generation_Regime,predicted,Clear_Sky_Index,Output Power,Cloud Type
Medium,High,1.0,61.8,0
Medium,High,0.7568345323741007,71.7,7
Low,Medium,0.25350467289719625,27.990000000000002,3
Medium,High,1.0,83.8,1
Medium,High,0.8284424379232506,51.7,7
High,Medium,0.8408018867924528,112.9,7
High,Medium,0.6775818639798489,111.30000000000001,7
Medium,High,1.0,73.5,0
Medium,High,0.6512820512820513,64.30000000000001,3
Medium,High,1.0,83.3,0
Medium,High,1.0,87.6,0
Medium,High,1.0,54.88999999999999,1
Medium,High,1.0,64.5,0
Medium,High,0.6835616438356165,79.7,3
Medium,High,0.6871741397288843,68.2,4
