Generation_Regime,predicted,Clear_Sky_Index,Output Power,Cloud Type
Low,Medium,1.0,142.30268,0
Low,Medium,0.8812260536398467,133.3724,3
Low,Medium,0.8157051282051282,135.64731999999998,8
Low,Medium,1.0,126.82712,0
Low,Medium,0.7108626198083067,118.90220000000001,3
Medium,Low,1.0,144.45096,0
Medium,Low,1.0,145.6578,0
Medium,Low,1.0,143.40956,0
Low,Medium,1.0,112.87476,0
Medium,Low,1.0,143.70144,0
Medium,Low,1.0,148.67236000000003,0
Medium,Low,0.8069852941176471,148.6648,4
Medium,Low,0.8073217726396917,145.61632,2
Medium,Low,1.0,150.30700000000002,0
Medium,Low,1.0,144.19612,0
