Sky_Condition,predicted,Clear_Sky_Index,Output Power,Cloud Type
Clear,Partly Cloudy,0.8812260536398467,133.3724,3
Clear,Partly Cloudy,0.9416403785488959,164.20872,7
Clear,Partly Cloudy,0.9045383411580594,164.25948,8
Clear,Partly Cloudy,0.8931419457735247,162.87168,8
Clear,Partly Cloudy,0.9026845637583892,157.19191999999998,7
Clear,Partly Cloudy,0.851985559566787,149.7038,3
Clear,Partly Cloudy,0.9437751004016064,136.50564,7
Clear,Partly Cloudy,0.9044289044289044,110.49896,7
Clear,Partly Cloudy,0.9344729344729344,93.59183999999999,2
Overcast,Partly Cloudy,0.2621527777777778,33.61728,6
Overcast,Partly Cloudy,0.18719211822660098,27.1154,6
Overcast,Partly Cloudy,0.2611464968152866,36.21544,6
Overcast,Partly Cloudy,0.3861066235864297,50.53284,6
Overcast,Partly Cloudy,0.3062605752961083,44.464240000000004,6
Overcast,Partly Cloudy,0.36863543788187375,40.67184,6
