feature,importance
GHI,0.06272504901575988
Relative Humidity,0.03653671682813751
DNI,0.022412505615036226
Temperature,0.006710900516334872
Clearsky GHI,0.005520629816483024
Surface Albedo,0.004549775514744958
Hour_sin,0.003303307326191285
Cloud Type_9,0.0005065856129685686
Dew Point,0.0004923912274672926
Cloud Type_6,7.3934323704838436e-06
Cloud Type_12,0.0
Cloud Type_2,-4.2968889306438385e-05
Cloud Type_8,-0.00021023442399510374
Month_sin,-0.0002819500570352629
Cloud Type_4,-0.00029534521685954386
Cloud Type_1,-0.00039968025579539823
Cloud Type_3,-0.0004642369629735743
Wind Speed,-0.0005943285893724503
Solar Zenith Angle,-0.0006897486796392238
DayOfYear_sin,-0.0010121993590538336
Hour_cos,-0.00112732513434608
Month_cos,-0.0012420588316763182
Cloud Type_7,-0.0012625915024502277
Wind Direction,-0.0012953898947116293
Clearsky DHI,-0.0014092751913812318
Clearsky DNI,-0.002102612851690133
Precipitable Water,-0.0024368816544874995
DayOfYear_cos,-0.003001568303916358
DHI,-0.0031008861726003365
Cloud Type_0,-0.004310862821859285
Pressure,-0.004342979109507317
