feature,importance
GHI,0.2770314986211326
Solar Zenith Angle,0.1924091953714711
Clearsky GHI,0.17008390415321784
DayOfYear_cos,0.08526581235704425
Hour_cos,0.04739056759710314
DNI,0.04493557242500614
Temperature,0.034934304223473545
Month_cos,0.033314938491048274
DayOfYear_sin,0.029301900705081606
Month_sin,0.027292992025960205
Cloud Type_0,0.02021925854986941
Clearsky DHI,0.014421013581090691
DHI,0.013469307755613547
Clearsky DNI,0.008267378600437403
Cloud Type_1,0.0077705148540402336
Hour_sin,0.007531142877748675
Cloud Type_6,0.005278430570894032
Cloud Type_8,0.004363857989818509
Pressure,0.004150113187112181
Cloud Type_2,0.004050891119214972
Surface Albedo,0.0024599847702866384
Cloud Type_4,0.0018403454394237072
Dew Point,0.0018363915794916252
Cloud Type_7,0.0010900120761629718
Wind Speed,0.001014918653934971
Cloud Type_3,0.0009236646621860967
Relative Humidity,0.00038624402222307006
Precipitable Water,0.0003495814172858047
Cloud Type_9,1.766345844018691e-05
Wind Direction,-0.000519491073108247
