feature,importance
Cloud Type_0,0.2664255960367547
Relative Humidity,0.07606990522126222
Precipitable Water,0.05210049590422228
Temperature,0.04497419767131179
Cloud Type_7,0.03147536506545525
Cloud Type_6,0.028471315185860678
Cloud Type_3,0.02724430930181878
Cloud Type_4,0.026185583554831672
Cloud Type_1,0.02473814855189449
Cloud Type_8,0.012303135349973293
Surface Albedo,0.010392652088977017
DayOfYear_sin,0.007357654900049226
Wind Direction,0.007111421986074484
Month_cos,0.005117262329491568
Cloud Type_9,0.004733406828867049
Hour_sin,0.0033274290552538057
Hour_cos,0.0030666037878060324
Cloud Type_2,0.002264221429784263
Pressure,0.0011418677895704387
Dew Point,0.0009174260374204213
Wind Speed,0.0007840319368301429
Cloud Type_12,0.0
Month_sin,-3.3129299642786766e-05
DayOfYear_cos,-0.002587413493909141
