feature,importance
Cloud Type_0,0.24839026130373382
Temperature,0.11600043974179122
Dew Point,0.10124081855333181
Cloud Type_1,0.08358670072090564
DayOfYear_cos,0.05903451107754765
Cloud Type_8,0.03242130189303542
Wind Speed,0.028898088328559335
Month_sin,0.02310818866558999
Month_cos,0.020962883966923272
Surface Albedo,0.01601510938273145
Hour_sin,0.008529350323064299
Cloud Type_2,0.007074590710582318
Cloud Type_4,0.005015374966633512
Pressure,0.004595572358360523
Hour_cos,0.00454855609384861
Cloud Type_6,0.004213038232406152
Cloud Type_7,0.0035078021498205604
DayOfYear_sin,0.003104357167386773
Relative Humidity,0.0005700864886713619
Cloud Type_3,0.0005121346676668192
Cloud Type_9,0.0
Wind Direction,-0.0007205670035815403
Precipitable Water,-0.000821259068765956
