task,city,model,seed,ablation_group,balanced_accuracy,accuracy,macro_precision,macro_recall,macro_f1,notes
sky_condition,Davis,majority_baseline,42,full,0.3333333333333333,0.703711382956666,0.23457046098555534,0.3333333333333333,0.27536408259299827,
sky_condition,Davis,logistic_regression,42,full,0.7693877195151937,0.8571428571428571,0.7327777866496898,0.7693877195151937,0.7490600493138739,
sky_condition,Davis,decision_tree,42,full,0.6960979905829728,0.8281152809454696,0.6805134831477706,0.6960979905829728,0.687839328917954,
sky_condition,Davis,random_forest,42,full,0.742118280348731,0.8540327596931371,0.7284525167528776,0.742118280348731,0.7342178292078222,
sky_condition,Davis,gradient_boosting,42,full,0.752429752659534,0.8554841385030064,0.7298051746549444,0.752429752659534,0.7401776599331225,
sky_condition,Davis,mlp,42,full,0.7654450628534125,0.8523740410532863,0.7266469505446658,0.7654450628534125,0.7433552730101584,
sky_condition,Davis,majority_baseline,123,full,0.3333333333333333,0.703711382956666,0.23457046098555534,0.3333333333333333,0.27536408259299827,
sky_condition,Davis,logistic_regression,123,full,0.7693877195151937,0.8571428571428571,0.7327777866496898,0.7693877195151937,0.7490600493138739,
sky_condition,Davis,decision_tree,123,full,0.6959060181327,0.8270785817955629,0.6794154514613312,0.6959060181327,0.6871325521041213,
sky_condition,Davis,random_forest,123,full,0.7413965889801412,0.8534107402031931,0.7299009228800686,0.7413965889801412,0.7342546488626497,
sky_condition,Davis,gradient_boosting,123,full,0.752331540127615,0.8552767986730251,0.7296001858944635,0.752331540127615,0.7400128182996611,
sky_condition,Davis,mlp,123,full,0.7496932138165117,0.8498859630935103,0.7228078957033485,0.7496932138165117,0.7336806111376152,
sky_condition,Davis,majority_baseline,2026,full,0.3333333333333333,0.703711382956666,0.23457046098555534,0.3333333333333333,0.27536408259299827,
sky_condition,Davis,logistic_regression,2026,full,0.7693877195151937,0.8571428571428571,0.7327777866496898,0.7693877195151937,0.7490600493138739,
sky_condition,Davis,decision_tree,2026,full,0.6987710860482602,0.8281152809454696,0.682747758338882,0.6987710860482602,0.6902767299340836,
sky_condition,Davis,random_forest,2026,full,0.7457983736740657,0.8563134978229318,0.7322232227006653,0.7457983736740657,0.7381941144231193,
sky_condition,Davis,gradient_boosting,2026,full,0.752331540127615,0.8552767986730251,0.7296001858944635,0.752331540127615,0.7400128182996611,
sky_condition,Davis,mlp,2026,full,0.7505757093404174,0.8558988181629691,0.7302198330284041,0.7505757093404174,0.7394648512456462,
sky_condition,Amherst,majority_baseline,42,full,0.3333333333333333,0.48009950248756217,0.16003316749585406,0.3333333333333333,0.21624649859943978,
sky_condition,Amherst,logistic_regression,42,full,0.8031275722337042,0.8412106135986733,0.8160415856635946,0.8031275722337042,0.8003900380671922,
sky_condition,Amherst,decision_tree,42,full,0.6925648797515112,0.74212271973466,0.6961547008431742,0.6925648797515112,0.693980336476622,
sky_condition,Amherst,random_forest,42,full,0.808492854714932,0.8466003316749585,0.8273175796889886,0.808492854714932,0.8079800100287046,
